letter,ID,P1,P2
RM3,25206015,-121.973938,-76.1975708
RM3,25206015,-151.6000824,-36.2436409
RM3,25206015,-185.2416992,-47.30224609
RM3,25206015,-130.1333771,-37.35993958
RM3,25206015,-141.8424835,-31.9792099
RM3,25206015,-95.11846924,-58.4973793
RM3,25206015,-90.6131134,-19.81233215
RM3,25206015,-147.6809845,-68.94563293
RM3,25206015,-110.7306213,-27.11245918
RM3,25206015,-58.61784363,-47.02116394
RM3,25206015,-99.04560089,-34.95869064
RM3,25206015,-67.33141327,-23.99645424
RM3,25206015,-107.4941559,-22.04493523
RM3,25206015,-94.61252594,-42.12228775
RM3,25206015,-87.93881226,-48.87631226
RM3,25206015,-102.9004517,-51.63092422
RM3,25206015,-87.11965179,-24.86379433
RM3,25206015,-102.8362045,-39.35964584
RM3,25206015,-112.6901703,-40.05833817
RM3,25206015,-72.70411682,-17.77247429
RM3,25206015,-117.6372299,-35.2397728
RM3,25206015,-113.0756607,-55.70261002
RM3,25206015,-88.52507019,-23.82780457
RM3,25206015,-95.65654755,-24.24541283
RM3,25206015,-95.68064117,-73.09763336
RM3,25206015,-111.6140289,-39.59254074
RM3,25206015,-139.6661072,-37.73739624
RM3,25206015,-125.5958939,-72.49530792
RM3,25206015,-83.02387238,-40.90961838
RM3,25206015,-154.5795593,-54.48190689
RM3,25206015,-77.22553253,-96.14643097
RM3,25206015,-151.4876556,-61.15562057
RM3,25206015,-49.01283646,-55.11635208
RM3,25206015,-87.22406006,-24.35784531
RM3,25206015,-111.4453735,-57.12408829
RM3,25206015,-87.07949829,-73.04141235
RM3,25206015,-116.5209351,-18.25432968
RM3,25206015,-71.15414429,-50.40219116
RM3,25206015,-100.8365021,-96.56404114
RM3,25206015,-63.50868607,-32.38075638
RM3,25206015,-98.60390472,-24.75136185
RM3,25206015,-112.8588257,-53.04436874
RM3,25206015,-72.68002319,-24.46224785
RM3,25206015,-32.5574379,-21.57110977
RM3,25206015,-62.20767212,-21.31411934
RM3,25206015,-141.1678925,-58.16007996
RM3,25206015,-178.013855,-30.30877304
RM3,25206015,-80.31744385,-47.96881485
RM3,25206015,-24.43815613,-50.07292175
RM3,25206015,-51.01254272,-58.33676147
RM3,25206015,-148.636673,-22.90424538
RM3,concatenate180,-77.88407135,-29.05594635
RM3,concatenate180,-48.98874283,-56.92331314
RM3,concatenate180,-72.045578,-35.42448425
RM3,concatenate180,-44.05774689,-34.90247345
RM3,concatenate180,-84.01971436,-33.36053085
RM3,concatenate180,-33.23203659,-38.72520065
RM3,concatenate180,-95.12650299,-32.87064362
RM3,concatenate180,-46.77220535,-60.81029129
RM3,concatenate180,-74.86444092,-27.86736679
RM3,concatenate180,-145.4403534,-25.81144714
RM3,concatenate180,-111.051857,-41.47178268
RM3,concatenate180,-58.40903854,-27.28110886
RM3,concatenate180,-101.3263931,-29.91525841
RM3,concatenate180,-57.03574753,-67.41172028
RM3,concatenate180,-118.777626,-51.0286026
RM3,concatenate180,-85.11994934,-32.62971497
RM3,concatenate180,-107.4620285,-64.73741913
RM3,concatenate180,-85.47331238,-72.65592957
RM3,concatenate180,-134.5905457,-55.85519791
RM3,concatenate180,-49.36619949,-86.59764099
RM3,concatenate180,-95.16665649,-54.88345337
RM3,concatenate180,-133.5786591,-48.73978424
RM3,concatenate180,-111.3891602,-70.49560547
RM3,concatenate180,-121.5563354,-56.24871445
RM3,concatenate180,-132.679184,-23.42625618
RM3,concatenate180,-81.03220367,-60.28024673
RM3,concatenate180,-129.1214752,-59.54140091
RM3,concatenate180,-189.8514557,-36.04286575
RM3,concatenate180,-121.1949387,-32.08361053
RM3,concatenate180,-60.12765884,-86.98313141
RM3,concatenate180,-126.2383728,-68.25497437
RM3,concatenate180,-99.24637604,-61.40457916
RM3,concatenate180,-70.36711121,-31.91496277
RM3,concatenate180,-159.0447693,-32.70199585
RM3,concatenate180,-111.1803589,-33.66570663
RM3,concatenate180,-83.28889465,-39.34358215
RM3,concatenate180,-81.93166351,-57.51760483
RM3,concatenate180,-118.0307465,-66.15086365
RM3,concatenate180,-60.56936264,-64.84181976
RM3,concatenate180,-39.12674713,-23.86795807
RM3,concatenate180,-61.14759064,-53.82337189
RM3,concatenate180,-60.6577034,-46.0092659
