letter,ID,P1,P2,X,Y
TW2,21714053,-17.7727,-17.7727,,
TW2,21714053,-15.8631,-15.8631,,
TW2,21714053,-2.24198,-2.24198,,
TW2,21714053,-31.7262,-31.7262,,
TW2,21714053,-1.7948,-1.7948,,
TW2,21714053,-0.22964,-0.22964,,
TW2,21714053,-8.06752,-8.06752,,
TW2,21714053,-29.0128,-29.0128,,
TW2,21714054,-28.336,-27.1153,,
TW2,21714054,-13.2585,-5.93431,,
TW2,21714054,-7.62637,-25.3266,,
TW2,21714054,-4.01261,-25.3749,,
TW2,21714054,-4.5444,-16.7514,,
TW2,21714054,-17.7183,-32.3668,,
TW2,21714054,-29.2123,-18.2259,,
TW2,21714054,-21.3019,-14.588,,
TW2,21714054,-4.07908,-31.5449,,
TW2,21714054,-31.2125,-7.40882,,
TW2,21714054,-12.0378,-12.0378,,
TW2,21714054,-9.16132,-12.8234,,
TW2,21714054,-8.72621,-31.3092,,
TW2,21714054,-16.2499,-30.8983,,
TW2,21714054,-2.97924,-22.5105,,
TW2,21714054,-2.94903,-13.9354,,
TW2,21714054,-10.7688,-13.2102,,
TW2,21714054,-23.1692,-10.3518,,
TW2,21714054,-19.4285,-1.72832,,
TW2,21714054,-10.9622,-5.46899,,
TW2,21714054,-9.79584,-14.6787,,
TW2,21714054,-18.9511,-5.52338,,
TW2,21714054,-24.8069,-24.8069,,
TW2,21714054,-7.00394,-11.2764,,
TW2,21714054,-19.2412,-20.4619,,
TW2,21714054,-2.42328,-32.3305,,
TW2,21714054,-25.4958,-10.237,,
TW2,21714054,-2.99737,-20.6976,,
TW2,21714054,-7.03415,-8.86521,,
TW2,21714054,-14.1166,-14.727,,
TW2,21714054,-7.02811,-16.7937,,
TW2,21714054,-2.29637,-39.5278,,
TW2,21714054,-8.75643,-11.1978,,
TW2,21714054,-20.4377,-21.6584,,
TW2,21714054,-28.7107,-7.34839,,
TW2,21714054,-17.5189,-5.92222,,
TW2,21714054,-19.1203,-25.8342,,
TW2,21714054,-3.50499,-30.3605,,
TW2,21714054,-27.4839,-17.108,,
TW2,21714054,-18.6731,-18.6731,,
TW2,21714054,-17.3255,-3.28744,,
TW2,21714054,-28.2877,-19.1324,,
TW2,21714054,-13.2827,-8.39989,,
